item_id,item_name,calories_per_serving,meal_type,available_date,price,quantity
1,Oatmeal,150,breakfast,2024-12-02,5.0,100
2,Pancakes,200,breakfast,2024-12-02,6.0,100
3,Toast,250,breakfast,2024-12-02,4.0,100
4,Granola,180,breakfast,2024-12-02,5.5,100
5,Omlette,300,breakfast,2024-12-02,7.0,50
6,Yogurt,120,breakfast,2024-12-02,4.5,200
7,Bagel,220,breakfast,2024-12-02,5.5,150
8,Banana,100,breakfast,2024-12-02,1.0,200
9,Apple,95,snack,2024-12-02,1.5,200
10,Orange,80,snack,2024-12-02,1.5,200
11,Salad,150,lunch,2024-12-02,6.0,100
12,Sandwich,350,lunch,2024-12-02,7.5,100
13,Wrap,400,lunch,2024-12-02,8.0,100
14,Soup,250,lunch,2024-12-02,5.0,150
15,Pizza,300,lunch,2024-12-02,8.5,150
16,Pasta,450,lunch,2024-12-02,9.0,100
17,Chicken,500,lunch,2024-12-02,10.0,100
18,Tacos,600,lunch,2024-12-02,9.5,100
19,Burrito,700,lunch,2024-12-02,10.0,100
20,Curry,400,dinner,2024-12-02,8.5,100
21,Steak,600,dinner,2024-12-02,12.0,100
22,Salmon,550,dinner,2024-12-02,15.0,50
23,Tofu,300,dinner,2024-12-02,8.0,100
24,Quiche,350,dinner,2024-12-02,9.0,50
25,Waffles,400,breakfast,2024-12-03,7.0,150
26,Muffin,350,breakfast,2024-12-03,5.0,100
27,Cereal,200,breakfast,2024-12-03,3.0,150
28,Smoothie,180,breakfast,2024-12-03,4.5,100
29,Milk,150,breakfast,2024-12-03,2.0,200
30,Eggs,200,breakfast,2024-12-03,6.0,150
31,FruitMix,120,snack,2024-12-03,3.5,100
32,Noodles,300,lunch,2024-12-03,8.0,150
33,Dumpling,280,lunch,2024-12-03,9.0,150
34,StirFry,350,lunch,2024-12-03,8.5,100
35,Falafel,400,lunch,2024-12-03,9.5,100
36,Chili,500,dinner,2024-12-03,10.0,100
37,Lasagna,600,dinner,2024-12-03,11.0,50
38,Cabbage,150,dinner,2024-12-03,7.0,100
39,Ratatoui,200,dinner,2024-12-03,8.0,150
40,Shrimp,300,dinner,2024-12-03,12.0,50
41,Hashbrowns,300,breakfast,2024-12-04,5.0,100
42,Toasties,400,breakfast,2024-12-04,4.0,200
43,FrenchFry,500,snack,2024-12-04,6.0,150
44,BreadRoll,350,snack,2024-12-04,4.0,150
45,Baguette,300,snack,2024-12-04,4.5,100
46,RiceBowl,400,lunch,2024-12-04,8.0,150
47,Soba,300,lunch,2024-12-04,7.5,100
48,BBQPlate,600,lunch,2024-12-04,10.0,50
49,PokeBowl,450,lunch,2024-12-04,11.0,100
50,SushiRoll,350,dinner,2024-12-04,9.0,100
51,Dosa,300,dinner,2024-12-04,8.0,50
52,Katsu,600,dinner,2024-12-04,10.5,100
53,Gyros,450,dinner,2024-12-04,9.0,100
54,Meatball,500,dinner,2024-12-04,10.0,150
55,Tiramisu,400,dessert,2024-12-05,7.0,100
56,Pudding,200,dessert,2024-12-05,4.0,150
57,Brownie,350,dessert,2024-12-05,5.0,150
58,IceCream,300,dessert,2024-12-05,4.5,100
59,PieSlice,250,dessert,2024-12-05,3.5,100
60,Cupcake,400,dessert,2024-12-05,5.0,150
61,Fritters,400,snack,2024-12-05,7.5,100
62,Wings,500,snack,2024-12-05,9.0,50
63,Biryani,600,dinner,2024-12-05,11.0,150
64,Shawarma,450,lunch,2024-12-05,10.0,150
65,MacCheese,400,lunch,2024-12-05,8.0,150
66,OnionSoup,300,dinner,2024-12-05,7.5,150
67,OkraStew,200,dinner,2024-12-05,6.0,150
68,Shepherds,600,dinner,2024-12-05,11.0,50
69,GarlicNan,300,snack,2024-12-06,5.0,200
70,PitaBread,200,snack,2024-12-06,4.5,150
71,Hummus,180,snack,2024-12-06,4.0,150
72,CheeseBrd,300,snack,2024-12-06,6.0,100
73,Biscotti,150,snack,2024-12-06,3.0,200
74,Latte,100,drink,2024-12-06,2.5,300
75,Cappucino,100,drink,2024-12-06,2.5,300
76,Espresso,50,drink,2024-12-06,2.0,300
77,Mocha,200,drink,2024-12-06,3.0,300
78,Tea,50,drink,2024-12-06,1.5,300
79,HotChoc,200,drink,2024-12-06,2.0,300
80,FrenchTo,350,breakfast,2024-12-06,7.5,100
81,Croissant,250,breakfast,2024-12-06,6.0,150
82,Pancakes,300,breakfast,2024-12-06,7.5,150
83,SpinachDs,300,lunch,2024-12-06,8.5,100
84,AvocadoBr,400,lunch,2024-12-06,9.0,150
85,MisoSoup,200,lunch,2024-12-06,6.5,150
86,ClamChow,400,lunch,2024-12-06,7.5,100
87,Coffee,100,drink,2024-12-06,2.0,300
88,CheesCake,400,dessert,2024-12-06,6.5,100
89,ChocoCake,450,dessert,2024-12-06,7.0,100
90,FruitTart,350,dessert,2024-12-06,5.0,150
91,PoundCake,300,dessert,2024-12-06,4.5,150
92,Crumble,300,dessert,2024-12-06,5.0,100
93,ApplePie,300,dessert,2024-12-06,5.5,100
94,Doughnut,400,snack,2024-12-06,4.0,100
95,Strudel,400,snack,2024-12-06,5.0,150
96,MintChoc,300,dessert,2024-12-06,5.5,100
97,PBcookie,300,dessert,2024-12-06,4.5,150
98,Macaron,250,dessert,2024-12-06,6.0,100
99,LavaCake,400,dessert,2024-12-06,7.0,100
100,Affogato,350,dessert,2024-12-06,6.5,150


